Epoch,Training Loss,Validation Loss,Training Top-1 Accuracy,Validation Top-1 Accuracy
1,3.9033148568435756,3.9251090888104407,0.060893854748603364,0.08104575163398693
2,3.70851007786543,3.904559902116364,0.08966480446927377,0.11830065359477124
3,3.3022055119775526,3.856770250532362,0.13882681564245808,0.18627450980392157
4,2.8356435418794943,3.801080795674542,0.2259776536312848,0.2477124183006536
5,2.427751437911774,3.742412112117593,0.30530726256983237,0.35947712418300654
6,2.0286567317706914,3.6631441147498833,0.4025139664804469,0.4437908496732026
7,1.6803753469243397,3.5954675144619412,0.5058659217877096,0.47908496732026146
8,1.3711886176183903,3.5155965627408494,0.5832402234636875,0.534640522875817
9,1.1192285638281754,3.490772721035029,0.6645251396648046,0.5464052287581699
10,0.9504566232585374,3.4731728594287548,0.7069832402234636,0.5568627450980392
11,0.7513262415564926,3.4394119798747544,0.7681564245810057,0.5699346405228758
12,0.6127008536008484,3.419690403283811,0.8122905027932963,0.5875816993464053
13,0.505866528847697,3.4070683413860845,0.8463687150837987,0.5993464052287582
14,0.44577008602339463,3.4048360749786974,0.859497206703911,0.5928104575163399
15,0.3415576787717515,3.3716524052464103,0.8958100558659214,0.6189542483660131
16,0.2963209827248444,3.386533855612761,0.9139664804469276,0.6065359477124183
17,0.2721685360305469,3.371193670759014,0.9198324022346367,0.6209150326797386
18,0.25136067968007575,3.3762373004863466,0.9234636871508377,0.6111111111111112
19,0.20911690812329006,3.3715103732215033,0.940223463687151,0.6104575163398693
20,0.2112364324314426,3.3734141128515107,0.9421787709497214,0.6111111111111112
21,0.16796352887557373,3.359178381028518,0.9486033519553072,0.6169934640522876
22,0.15136455274681307,3.365868435965644,0.9522346368715088,0.6176470588235294
23,0.14819230042221077,3.3439635279911015,0.9583798882681559,0.634640522875817
24,0.12898867759286484,3.3540834928649703,0.9620111731843574,0.6261437908496732
25,0.11362520234357545,3.342038100061853,0.9664804469273749,0.6366013071895424
26,0.11015216654619234,3.3584960893867843,0.9678770949720671,0.6222222222222222
27,0.11612852821620857,3.3643588349710103,0.9653631284916199,0.6130718954248366
28,0.12412480241749123,3.335503063949884,0.9650837988826813,0.6372549019607843
29,0.09834886471449537,3.3325518922868116,0.9723463687150835,0.642483660130719
30,0.08843007392000261,3.340981930689095,0.9768156424581003,0.6352941176470588
31,0.08347686747604117,3.3336067028294982,0.9790502793296088,0.6379084967320261
32,0.07709061442685766,3.3476436932881675,0.977094972067039,0.626797385620915
33,0.07399481463092561,3.3440495472328338,0.9801675977653629,0.6333333333333333
34,0.06376721989867465,3.335821179782643,0.9796089385474859,0.6385620915032679
35,0.09138264813572272,3.330008455351287,0.9743016759776537,0.6392156862745098
36,0.060285328919270895,3.3269946403752746,0.9815642458100556,0.6516339869281046
37,0.055017940801511095,3.3246821780609928,0.9851955307262568,0.6483660130718955
38,0.04751483235357319,3.3271401910220875,0.9865921787709494,0.6437908496732027
39,0.04435042967868959,3.331011518154269,0.9893854748603347,0.6431372549019608
40,0.03428936911580691,3.3311930497487388,0.9896648044692736,0.6405228758169934
41,0.02946340388938064,3.318505337035734,0.9927374301675979,0.6490196078431373
42,0.04046395291337241,3.3154514241062736,0.9907821229050281,0.6542483660130719
43,0.037571435194679106,3.321416095970503,0.9918994413407822,0.6477124183006536
44,0.05150758615625351,3.3083449267094434,0.9865921787709495,0.6627450980392157
45,0.03728219589306947,3.312980932347915,0.991899441340782,0.6562091503267974
46,0.029304119965042685,3.3107613457573786,0.993854748603352,0.6601307189542484
47,0.025143727704973022,3.317168122023539,0.993016759776536,0.6549019607843137
48,0.03433143961381209,3.330165512421552,0.9916201117318436,0.6450980392156863
49,0.023021904896893056,3.3119059855641884,0.994413407821229,0.6620915032679738
50,0.02468289661066094,3.3074371393989113,0.9946927374301674,0.6620915032679738
51,0.02194230574040167,3.3132081016216404,0.9932960893854744,0.6562091503267974
52,0.029806142087628922,3.314840058096094,0.9918994413407819,0.6542483660130719
53,0.0216716603403937,3.3114711163090726,0.9935754189944134,0.6555555555555556
54,0.023632451267995905,3.3146053451338626,0.9941340782122904,0.6535947712418301
55,0.014084284314314228,3.307719347523708,0.9969273743016759,0.6627450980392157
56,0.01652129599206701,3.301941411947113,0.9969273743016758,0.6679738562091503
57,0.010188001427749385,3.3123161060358184,0.99804469273743,0.6529411764705882
58,0.018810908626101235,3.3114483808380326,0.9946927374301676,0.6562091503267974
59,0.011541976375133219,3.3041152159372964,0.9972067039106142,0.665359477124183
60,0.015399218432372314,3.299919784458634,0.9969273743016758,0.6712418300653594
61,0.012311236945347522,3.3141423658607834,0.9977653631284917,0.6503267973856209
62,0.01178118118422283,3.304490069158716,0.9983240223463686,0.6601307189542484
63,0.011157595828533165,3.3028798259161656,0.99804469273743,0.6692810457516339
64,0.009805071422235221,3.306803527221181,0.99804469273743,0.6607843137254902
65,0.00927040253100639,3.299905678805183,0.9983240223463686,0.6745098039215687
66,0.008211206061802622,3.29049680903067,0.9983240223463686,0.6790849673202615
67,0.012535575887366516,3.3003338988310373,0.9966480446927373,0.6699346405228758
68,0.007579841970382099,3.2918575885249117,0.9988826815642459,0.6745098039215687
69,0.007787907371829274,3.2971745893067004,0.99804469273743,0.6712418300653594
70,0.0076331151123576494,3.297792595196394,0.9991620111731842,0.6705882352941176
